TA,J54A,43.2728,-78.6392,25.45,1.82
TA,J60A,43.2438,-73.4212,27.23,1.84
TA,K05A,42.7258,-120.8934,31.05,1.63
TA,K06A,42.7991,-120.2510,36.16,1.62
TA,K07A,42.6912,-119.2469,28.07,1.81
TA,K15A,42.6852,-112.5305,22.54,2.09
TA,K16A,42.8321,-111.5884,30.19,1.69
TA,K20A,42.6579,-108.3418,24.46,1.79
TA,K23A,42.7546,-105.6251,22.14,2.07
TA,K25A,42.6120,-103.8705,28.57,1.89
TA,K30A,42.6742,-99.6131,22.02,1.99
TA,K47A,42.6704,-84.9993,27.49,1.68
TA,K49A,42.7835,-83.4556,30.33,1.71
TA,K57A,42.7313,-76.5163,26.01,1.93
TA,K60A,42.6168,-73.8886,24.66,1.89
TA,K61A,42.6695,-73.2676,22.64,2.25
TA,L10A,42.0773,-116.4711,36.24,1.70
TA,L13A,42.0886,-113.9444,22.52,1.89
TA,L16A,42.0149,-111.4319,32.17,1.75
TA,L17A,42.0995,-110.8727,24.04,1.98
TA,L20A,42.0073,-108.3398,27.91,1.89
TA,L21A,41.9641,-107.3695,20.26,2.37
TA,L46A,42.0127,-86.2955,20.78,2.02
TA,L57A,42.0005,-76.8492,26.89,1.91
TA,L60A,41.9890,-74.2226,34.61,1.71
TA,L61A,42.1934,-73.5543,36.76,1.66
TA,L64A,41.9359,-70.8391,23.32,1.90
TA,M08A,41.4483,-118.3792,37.32,1.60
TA,M10A,41.5220,-116.5396,25.91,1.81
TA,M17A,41.4729,-110.6664,27.65,1.80
TA,M21A,41.6067,-107.3635,25.21,1.85
TA,M22A,41.4033,-106.5958,30.29,1.78
TA,M24A,41.4676,-104.8248,29.83,1.61
TA,M26A,41.4661,-103.1427,36.62,1.57
TA,M28A,41.3956,-101.3715,38.12,1.59
TA,M30A,41.5371,-99.8723,31.15,1.82
TA,M37A,41.4028,-94.0575,23.12,2.11
TA,M40A,41.4060,-91.5121,27.77,1.84
TA,M42A,41.4546,-89.7581,26.77,1.95
TA,M46A,41.4079,-86.3524,30.43,1.73
TA,M47A,41.3594,-85.6214,20.88,2.04
TA,M48A,41.4846,-84.7171,24.94,1.89
TA,M49A,41.4745,-83.9752,27.89,1.79
TA,M57A,41.3372,-77.1280,24.48,2.07
TA,M66A,41.2590,-70.1353,38.70,1.59
TA,N17A,40.9425,-110.8335,27.31,1.82
TA,N20A,40.8338,-108.2626,20.06,2.32
TA,N21A,40.7600,-107.5196,31.59,1.64
TA,N24A,40.8271,-104.8824,27.09,1.74
TA,N27A,40.8063,-102.5367,24.68,2.11
TA,N31A,40.8235,-98.9544,22.94,1.94
TA,N34A,40.8378,-96.5005,34.01,1.73
TA,N37A,40.7582,-94.2095,31.89,1.67
TA,N38A,40.7931,-93.2350,39.72,1.64
TA,N41A,40.7077,-90.8552,20.16,2.39
TA,N43A,40.9394,-89.1735,36.50,1.52
TA,N46A,40.8949,-86.7352,21.56,1.94
TA,N53A,40.8065,-80.8377,26.27,1.88
TA,N55A,40.7808,-78.9862,23.28,2.01
TA,O03C,39.9971,-122.0319,33.21,1.55
TA,O09A,40.1697,-117.1899,28.55,1.88
TA,O10A,40.2917,-116.4999,20.82,2.41
TA,O13A,40.1314,-113.9814,21.90,2.01
TA,O17A,40.1948,-110.7378,29.31,1.99
TA,O23A,40.2109,-105.9178,20.16,2.39
TA,O36A,40.1315,-94.9645,23.34,2.23
TA,O48A,40.2571,-85.1553,27.57,2.05
